Question,Answer
특수자료는 어떻게 이용하나요?,"[ 특수자료 ] 별치기호 C 로 시작하는 청구기호를 가진 자료로 , 북한 및 반국가단체에서 제작 · 발행한 자료 중 그 구성원 또는 지령을 받은 자의 활동을 찬양 · 고무 · 선전 또는 이에 동조하거나 국가변란을 선전 · 선동하는 내용의 자료 , 국가의 존립 · 안전이나 자유민주적 기본질서를 위태롭게 하는 내용의 자료 및 해당 자료를 복제 · 복사하거나 그 일부를 발췌 · 인용 등을 통해 재연한 자료를 말합니다 . [ 자료 열람 절차 ] 특수자료 이용 희망 시 담당자에게 사전 문의하고 , 자료 이용 규정 준수에 관한 서약서를 작성하여야 합니다 . 신분증을 직원에게 맡긴 후 지정 좌석에서 자료를 열람할 수 있습니다 . [ 자료 열람 시간 ] 월 ~ 금 오전 10 시 ~ 오후 4 시 30 분 ( 토 , 일 , 공휴일 및 휴관일 제외 ) [ 대출 ] 특수자료의 대출은 서강대학교 구성원에 한하여 가능합니다 . 이때 담당 직원이 자료를 대출하고자 하는 자의 신분과 목적을 확인하며 30 일 이내의 기간 동안 대출이 허용됩니다 . [ 자료 이용 문의 ] 정보서비스팀 특수자료 담당자 (02-705-7860, libser@sogang.ac.kr)"
예수회 기증자료는 어떻게 이용하나요?,"[ 예수회 기증자료 ] 별치기호 GN, GF 로 시작하는 청구기호를 가진 자료로 , 유럽 예수회로부터 기증받았습니다 . - GN : 네덜란드 예수회 기증도서 - GF : 프랑스 예수회 기증도서 [ 자료 이용 가능 범위 및 절차 ] 참고서비스데스크로 이용 문의하시면 필요한 자료를 가져다 드립니다 . 이용자는 신분증을 맡긴 후 자료를 수령할 수 있으며 , 수령한 자료는 관내에서만 열람할 수 있습니다 . ( 대출 불가 ) [ 자료 열람 시간 ] 도서관 개관 시간 중 상시 열람 가능합니다 . [ 자료 이용 문의 ] 정보서비스팀 특수자료 담당자 (02-705-7860, libser@sogang.ac.kr)"
라파엘 라이브 스튜디오는 어떻게 이용하나요?,도서관 1 관 4 층에 위치한 라파엘 라이브 스튜디오는 편집실과 스튜디오로 이루어진 영상 콘텐츠 셀프 제작 공간으로 이용 방법은 도서관 이용 > 시설 이용 > 라파엘 라이브 스튜디오 이용 안내를 참고하시면 됩니다 . ( 문의 : 정보서비스팀 705-8197 libsns@sogang.ac.kr)
꿈꾸는 숲에 있는 취업•창업도서는 무엇인가요?,"취업•창업도서는 서강대에서 구입한 단행본 중 취업과 창업 관련된 도서를 제공하는 컬렉션입니다. 취업•창업도서는 1관 4층 꿈꾸는 숲 서가에서 보실 수 있습니다. 꿈꾸는 숲 서가는 취업, 창업, 자기소개서, 면접, 진로•경력개발 총 5개의 세션으로 나누어져있습니다. 취업•창업도서를 대출하시려면 단행본 서가에서 동일한 책을 찾으셔서 대출하시면 됩니다. (꿈꾸는 숲 서가 도서는 대출 불가, 열람만 가능) (문의 : 정보서비스팀 705-8195-7  libser@sogang.ac.kr)"
고서 및 귀중자료는 어떻게 이용하나요?,"[ 자료의 범위 ] 별치기호 고서 , CL, PCL, T 로 시작하는 청구기호를 가진 자료를 말합니다 . - 고서 ( 한적 장정으로 발행된 해방 이전 발행 고서 ) - CL ( 해방 전후 발행 단행본 등 ) - PCL ( 해방 전후 발행 연속간행물 ) - T ( 해방 전후 발행 옛 교과서 ) [ 열람 가능한 자료의 범위 ] 서강대학교 도서관 홈페이지에 원문 구축이 되어 있는 자료의 경우 , 원문 자료를 이용해아 합니다 . 원문이 구축되어 있지 않은 자료에 한하여 열람 및 복제신청이 가능합니다 . [ 자료 열람 절차 ] 로욜라도서관 1 관 3 층 참고서비스데스크에 신청서를 제출하시고 , 지정 좌석에서 자료를 이용할 수 있습니다 . 이메일로 신청서 제출 후 예약 시간에 이용도 가능합니다 . 신청서 다운로드 : https://library.sogang.ac.kr/bbs/content/6_30470 [ 자료 열람 시간 ] 월 ~ 금 오전 10 시 ~ 오후 4 시 30 분 ( 토 , 일 , 공휴일 및 휴관일 제외 ) [ 자료 이용 문의 ] 정보서비스팀 고서 담당자 (02-705-8196, libpr@sogang.ac.kr)"
장애인 이용지원 및 보조장비는 어디서 대여할 수 있나요?,1관 3층 참고서비스데스크와 1관 4층 정보봉사팀 사무실에 비치되어 있습니다. 장비 리스트에 관해서는 로욜라도서관 home>도서관 이용>이용자별 이용안내>장애인 에서 확인하실 수 있습니다. 장비 이용과 관련하여 궁금하신 점은 정보봉사팀 02-705-8195~97 으로 문의 바랍니다. (문의 : 정보서비스팀 705-8195~7 libsns@sogang.ac.kr)
Web of Science나 SCOPUS에 등재된 저널 리스트는 어떻게 확인할 수 있나요?,"Web of Science, SCOPUS, KCI에 등재된 저널리스트는 연구학습지원 > 연구지원 > 등재 학술지 리스트 에서 확인 가능합니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
졸업 후에도 로욜라도서관 학술DB를 이용할 수 있을까요?,"졸업생 회원은 도서관 출입 및 단행본 자료 대출만 가능하고 각종 전자자료(전자저널, DB, 동영상강좌 등)는 이용하실 수 없습니다. 다만, 별도의 로그인이 필요하지 않는 전자자원의 경우 도서관을 비롯한 교내에서 이용이 가능합니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
해외 학위논문을 보려면 어떤 학술DB를 이용해야 하나요?,해외 학위논문은 PQDT Global를 선택하여 이용할 수 있습니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)
Value Search(Excel) 구) KIS-VALUE 는 어떻게 이용할 수 있나요?,"Value Search(Excel) 구) KIS-VALUE 는 국내 기업재무제표 및 주식시장 DB로 전용프로그램을 설치하여야 이용이 가능합니다. (교내 이용만 가능) '설치방법안내'를 클릭하여 다운로드한 프로그램을 개별 PC에 설치 후 이용 가능하며, 이용계정은 로욜라도서관 홈페이지에 로그인하면 계정란에 보여집니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
