서명,저자,출판사,발행년,자료유형,소장처
TikTok Broadway : musical theatre fandom in the digital age,"Boffone, Trevor",Oxford University,2024,단행본,2관3층 일반도서 [302.30285 B673t]대출가능
More than love : the enduring fascination with Edgar Allan Poe,"Armiento, Amy Branam",Mercer University,2024,단행본,2관6층 일반도서 [823.7 P743MT]대출가능
"Where tyranny begins : the Justice Department, the FBI, and the war on democracy","Rohde, David",W.W. Norton & Company,2024,단행본,3관4층 일반도서 [973.933 R737w]대출가능
19세기와 20세기 초기 영국·미국의 철학,"Copleston, Frederick Charles",북코리아,2024,단행본,1관4층 일반도서 [109 C784h v.8/K]정리중
허클베리 핀의 모험,"Twain, Mark",Arte,2024,단행본,2관6층 일반도서 [823.8 T969h K/2024b]정리중
작은 자비들,"Lehane, Dennis",황금가지,2024,단행본,2관6층 일반도서 [823.914 L522sm K]정리중
돌로 만들어진 남자 : 할란 엘리슨 소설,"Ellison, Harlan",아작,2024,단행본,2관6층 일반도서 [823.914 E477to K]정리중
라이프 임파서블,"Haig, Matt",인플루엔셜,2024,단행본,2관6층 일반도서 [823.92 H149 l K]정리중
베스트 오브 제임스 팁트리 주니어,"Tiptree, James",아작,2024,단행본,2관6층 일반도서 [823.914 T595h K/2024]정리중
"신스 : 누구나 알지만, 아무도 모르는 : 제나 새터스웨이트 장편소설","Satterthwaite, Jenna",해피북스투유,2024,단행본,2관6층 일반도서 [823.92 S253m K]정리중
수 - 영원해!,"Dickinson, Emily Elizabeth",파시클출판사,2024,단행본,2관6층 일반도서 [821.8 D553 2024a/ K]정리중
여왕벌 : 세상을 쥐락펴락한 레이디 인플루언서들,"Evans, Siân",열린책들,2024,단행본,2관6층 일반도서 [941.082092 E92q K]정리중
새뮤얼 스마일즈의 인생 수업 : 오늘을 뜨겁게 살아가게 하는 자기계발서의 원조,"Smiles, Samuel",메이트북스 : 원앤원콘텐츠그룹,2024,단행본,1관3층 일반도서 [179.9 S641s 2024/K]정리중
Four points of the compass : the unexpected history of direction,"Brotton, Jerry",Allen Lane,2024,단행본,2관6층 일반도서 [910.9 B874f]정리중
(독서서비스 전문가를 위한) 독서지도론,한국독서교육연구학회,태일사,2024,단행본,1관4층 일반도서 [028.5 독5312]대출가능
식물 사람 : 철학적 식물학,"Hall, Matthew",서울대학교출판문화원,2024,단행본,2관4층 일반도서 [580.1 H178p K]대출가능
연루됨 : 인류학자의 세상 읽기,조문영,글항아리,2024,단행본,2관3층 일반도서 [301 조37ㅇ]대출가능
푸코,"Gutting, Gary",교유서가 : 교유당,2024,단행본,1관3층 일반도서 [194 F762GT 2019/ K]대출가능
역사 앞에 선 한국문학 : 염무웅 평론집,염무웅,창비,2024,단행본,2관5층 일반도서 [811.09 염37ㅇ]대출중
일본 중세적 세계의 형성,석모전 정,에이케이커뮤니케이션즈,2024,단행본,3관4층 일반도서 [953.2 석35ㅈ K]대출중
셜록의 아류,최윤석,네오픽션 : 네오북스,2024,단행본,3관4층 일반도서 [953.2 석35ㅈ K]대출중
역사교육 강의,김한종,책과함께,2024,단행본,2관5층 일반도서 [811.38 최6711ㅅ]정리중
멍텅구리,전봉관,더숲,2024,단행본,2관5층 일반도서 [741.5951 멍833]정리중
나라를 위해서 일한다는 거짓말,노한동,사이드웨이,2024,단행본,2관3층 일반도서 [352.63 노91ㄴ]대출중
신내림의 철학자 하이데거,문성학,북코리아,2024,단행본,1관3층 일반도서 [193 H465문]대출중
재닛 옐런,"Hilsenrath, Jon",마르코폴로,2024,단행본,2관3층 일반도서 [330.092 Y43H K]대출중
배당머신,평온,이나우스북스,2024,단행본,2관3층 일반도서 [332.6322 평65ㅂ]대출중
어른의 인사말,이경석,클,2024,단행본,2관4층 일반도서 [395 이14ㅇ]대출중
식민지 조선에 대한 일본의 동화정책,"Caprio, Mark",소명출판,2024,단행본,2관3층 일반도서 [325.353051 C253j K]정리중
Colonialism,"Biggar, Nigel",William Collins,2024,단행본,2관3층 일반도서 [325.341 B592c 2024]정리중
Political jouissance,"Barria-Asenjo, Nicol A.",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [320.019 P7692]정리중
"Cannabis, sacred and profane","Partridge, Christopher H",Bloomsbury Academic,2024,단행본,2관4층 일반도서 [394.14 P275c]정리중
A wandering dance through the philosophy of Graham Parkes,"Jones, David Edward",Bloomsbury Academic,2024,단행본,1관4층 일반도서 [111.85 W245]정리중
Writing with students,"Macnaught, Lucy",Bloomsbury Academic,2024,단행본,2관4층 일반도서 [428.0071 M169w]정리중
We need to talk about defence,"Curtis, Andrew R",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [355.6840941 C978w]정리중
Agent relative ethics,"Jensen, Steven J.",Routledge,2024,단행본,1관3층 일반도서 [171.7 J54a]정리중
The dialectic of ressentiment,"Tuinen, Sjoerd van",Routledge,2024,단행본,1관3층 일반도서 [179.8 T915d]정리중
일본 현지 생활 탐험,천호재,신아사,2024,단행본,2관4층 일반도서 [413.8 천95ㅇㅎ]정리중
문화유산과 국제개발협력,금기형,학고재,2024,단행본,2관3층 일반도서 [353.7 문962]정리중
메타프락시스 : 삶과 교육의 이론,이홍우,교육과학사,2024,단행본,2관3층 일반도서 [370.1 이95ㅁ]정리중
왼손으로 쓴 교육학,이홍우,교육과학사,2024,단행본,2관3층 일반도서 [370.1 이95ㅇㅅ]정리중
백만 교육학도를 향한 이홍우의 아폴로기아,이홍우,교육과학사,2024,단행본,2관3층 일반도서 [370.1 이95ㅂ]정리중
1%의 힘 농업 안내서,유재흠,너머학교,2024,단행본,2관4층 일반도서 [630.2 유72ㅇ]정리중
2050년의 미디어,하산 진,마르코폴로,2024,단행본,1관4층 일반도서 [071.3 하51ㅇ K]정리중
안즈민 일기,안지민,주류성출판사,2024,단행본,3관4층 일반도서 [951.2 안79ㅇ K]정리중
아이언 플레임,"Yarros, Rebecca",북폴리오 : 미래엔,2024,단행본,2관6층 일반도서 [823.92 Y29i K]정리중
이사야 40-66장에 나타난 종들의 기업,이희성,솔로몬,2024,단행본,1관3층 일반도서 [224.1 이98ㅇ]정리중
여신의 언어 / 개정판,"Gimbutas, Marija Alseikaite",한겨레출판 : 한겨레엔,2024,단행본,1관3층 대형도서 [대 202.114 G491 l K/2024]정리중
우화들,김겨울,시간의흐름,2024,단행본,2관5층 일반도서 [811.88 김142ㅇㅎ]정리중
번아웃을 지나 점점 푸르게,김은지,이야기나무,2024,단행본,2관5층 일반도서 [811.88 김6823ㅂ]정리중
K-배터리 30년 전쟁,이지훈,리더스북 : 웅진씽크빅,2024,단행본,2관3층 일반도서 [338.4762131 이79k]정리중
자바 입문,최원효,길벗,2024,단행본,1관4층 일반도서 [005.133 J2최]정리중
우리는 왜 진정성에 집착하는가,"Bootle, Emily",푸른숲,2024,단행본,1관3층 일반도서 [170 B725t K]정리중
제비다방 책,씨티알프린트,문화지형연구소 씨티알,2024,단행본,2관4층 일반도서 [647.95 씨839ㅈ]정리중
언더그라운드 엠파이어,"Farrell, Henry",PADO북스 : 머니투데이,2024,단행본,2관3층 일반도서 [337.73 F245u K]정리중
러시아와 이웃 국가들,"Blinnikov, Mikhail S",푸른길,2024,단행본,2관6층 일반도서 [914.7 B648g 2021/K]정리중
비트코인의 정치학,"Golumbia, David",에코리브르,2024,단행본,2관3층 일반도서 [332.40285 G629p K]정리중
대학 대변동,"Levine, Arthur",지식의날개 : 한국방송통신대학교출판문화원,2024,단행본,2관3층 일반도서 [378 L6651g K]정리중
공부하듯 주식해서 보화찾기,허정욱,예미,2024,단행본,2관3층 일반도서 [332.6322 허73ㄱ]정리중
"AWS로 구현하는 생성형 AI : LLM에서 멀티모달 모델까지, RAG, LoRA, RLHF를 활용한 AWS 기반 생성형 AI 구축 가이드","Fregly, Chris",위키북스,2024,단행본,1관4층 일반도서 [006.3 F858g K]정리중
미국 증거법,강병진,법률신문사,2024,단행본,법학전문도서관 단행본서가 [LA 347.736 강44ㅁ]정리중
미국 신탁 및 유언법,강병진,법률신문사,2024,단행본,법학전문도서관 단행본서가 [LA 346.73054 강44ㅁ]정리중
경쟁법 : 독점규제 및 공정거래 / 2판 전면개정판,김두진,동방문화사,2024,단행본,법학전문도서관 단행본서가 [LA 343.51907 김227ㄱ]정리중
(2024년 제25회) 젊은평론가상 수상작품집,안서연,작가,2024,단행본,2관5층 일반도서 [811.09 젊68 2024]대출중
무의식은 어떻게 나를 설계하는가 : 나를 살리기도 망치기도 하는 머릿속 독재자,"Eagleman, David",알에이치코리아,2024,단행본,1관3층 일반도서 [153 E11in K]대출중
말의 힘 : 나를 바꾸고 운명을 바꾸는 긍정의 기술,윤석금,리더스북 : 웅진씽크빅,2024,단행본,2관4층 일반도서 [650.1 윤532ㅁ]대출중
The singularity is nearer : when we merge with AI,"Kurzweil, Ray",Viking,2024,단행본,2관4층 일반도서 [612.82 K96s]대출중
러브 섬바디 : C. R. 로섹 장편소설,"Roasek, Rachel",폭스코너,2024,단행본,2관6층 일반도서 [823.92 R6281 l K]정리중
1984,"Orwell, George",올리버 : 탐나는책,2024,단행본,2관6층 일반도서 [827.9 O 79n K/2024b]정리중
"9 Voices, 9 Values : 가치의 조각들: 아홉 작가의 이야기",서유나,창조와지식,2024,단행본,2관5층 일반도서 [811.8808 N714]정리중
유산시리즈,"Jemisin, N. K.",황금가지 : 민음인,2024,단행본,2관6층 일반도서 [823.92 J49i K]정리중
프랭크 허버트 단편 걸작선,"Herbert, Frank",황금가지 : 민음인,2024,단행본,2관6층 일반도서 [823.914 H537 K/2024]정리중
에스겔·호세아 연구 입문,"Davies, Philip R.",CLC : 기독교문서선교회,2024,단행본,1관3층 일반도서 [224.4 D257e K]정리중
이집트 상형문자 필사 노트,유성환,휴머니스트출판그룹,2024,단행본,2관4층 일반도서 [493.1 유53ㅇ]정리중
Catholics and violence in the nineteenth-century global world,"Bouwers, Eveline G.",Routledge,2024,단행본,1관3층 일반도서 [261.83 C3635]정리중
"Foucault and the history of philosophical transcendence : freedom, nature and agency","Falzon, Christopher",Bloomsbury Academic,2024,단행본,1관3층 일반도서 [194 F762FZ]정리중
Confronting China : US defense policy in an era of great power competition,"Anderson, James H.",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [355.0310973 C748]정리중
"Ecolinguistics and environment in education : language, culture and textual analysis","Bellewes, Emile",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [306.44 B442e]정리중
길가메쉬,"Harder, Jens",마르코폴로,2024,단행본,1관3층 대형도서 [대 892.1 G473HA K]정리중
"Tracks on the ocean : a history of trailblazing, maps, and maritime travel","Caputo, Sara",The University of Chicago,2024,단행본,2관4층 일반도서 [387.509 C255t]정리중
"Critical infrastructure protection, risk management, and resilience : a policy perspective / 2nd ed","Pesch-Cronin, Kelley A",Routledge,2024,단행본,2관3층 일반도서 [363.60681 P473c 2024]정리중
Biosecurity : a systems perspective,"Hester, Susan M.",CRC,2024,단행본,2관4층 일반도서 [614.44 B616]정리중
Advancing sustainable science and technology for a resilient future,"Oruganti, Sai Kiran",CRC,2024,단행본,2관3층 일반도서 [338.927 A244]정리중
Adaptive detection for multichannel signals in non-ideal environments,"Wang, Zeyu",CRC,2024,단행본,2관4층 일반도서 [621.3822 W246a]정리중
도리언 그레이의 초상 / 2판,"Wilde, Oscar",문예출판사,2024,단행본,2관6층 일반도서 [822.8 W672p K/2024a]대출중
문화의 수수께끼를 풀다 : 문화 상대주의로 세상을 바꾼 인류학의 모험가들,"King, Charles",교양인,2024,단행본,2관3층 일반도서 [306 K52g K]대출중
노화를 늦추는 뇌 건강법,전유전,어른의시간,2024,단행본,2관4층 일반도서 [612.82 전67ㄴ]대출중
"반 고흐, 영혼의 편지 : 고흐의 불꽃같은 열망과 고독한 내면의 기록 / 4판","Gogh, Vincent van",위즈덤하우스,2024,단행본,2관5층 일반도서 [759.9492 G613 2024/K]대출중
서른에 읽는 프로이트 : 불안정한 시기에 만나는 심리학의 거장,성유미,유노북스 : 유노콘텐츠그룹,2024,단행본,1관3층 일반도서 [150.1952 F889성]대출중
살아 있는 자들을 위한 죽음 수업 : 한 법의학자가 수천의 인생을 마주하며 깨달은 삶의 철학,이호,웅진지식하우스 : 웅진씽크빅,2024,단행본,1관3층 일반도서 [128.5 이95ㅅ]대출중
(운명을 바꾸는) 말하기 수업 : 인생의 가치를 끌어올리는 결정적 기술,이영선,웅진지식하우스 : 웅진씽크빅,2024,단행본,2관5층 일반도서 [808.5 이641ㅁ]대출중
몰락의 대가 : 기후위기와 물가 그리고 명제국의 붕괴,"Brook, Timothy",너머북스,2024,단행본,3관4층 일반도서 [951.026 B871p K]대출중
The adoption of FinTech,"Jafar, Syed Hasan",Routledge,2024,단행본,2관3층 일반도서 [332.10285 A239]정리중
Sustainability of natural resources,"Kumar, Rohitashw",CRC,2024,단행본,2관3층 일반도서 [333.9104 S964]정리중
Mechanics and physics of porous materials,"Chia, Chin Hua",CRC,2024,단행본,2관4층 일반도서 [620.116 M486]정리중
"Managing diversity, equity, and inclusion in public service organizations","Chordiya, Rashmi",Routledge,2024,단행본,2관3층 일반도서 [352.608 C551m]정리중
Intersectionality and leading social change in education,"Wang, Aubrey H.",Routledge,2024,단행본,2관3층 일반도서 [371.20110973 I 61]정리중
Global perspectives on teaching with technology,"Chigona, Agnes",Routledge,2024,단행본,2관3층 일반도서 [371.33 G562]정리중
Deep neural networks enabled intelligent fault diagnosis of mechanical systems,"Yan, Ruqiang",CRC,2024,단행본,2관4층 일반도서 [620.00452 Y21d]정리중
미국 증거법,강병진,법률신문사,2024,단행본,법학전문도서관 단행본서가 [LA 347.736 강44ㅁ]정리중
미국 신탁 및 유언법,강병진,법률신문사,2024,단행본,법학전문도서관 단행본서가 [LA 346.73054 강44ㅁ]정리중
경쟁법 : 독점규제 및 공정거래 / 2판 전면개정판,김두진,동방문화사,2024,단행본,법학전문도서관 단행본서가 [LA 343.51907 김227ㄱ]정리중
(2024년 제25회) 젊은평론가상 수상작품집,안서연,작가,2024,단행본,2관5층 일반도서 [811.09 젊68 2024]대출중
무의식은 어떻게 나를 설계하는가,"Eagleman, David",알에이치코리아,2024,단행본,1관3층 일반도서 [153 E11in K]대출중
말의 힘,윤석금,리더스북 : 웅진씽크빅,2024,단행본,2관4층 일반도서 [650.1 윤532ㅁ]대출중
