순위,책 제목,저자,출판사,발행시기,이용건수
1,(역주) 사법품보,한상권,봄날의책,2018,27
2,묵향,전동조,명상,1999,13
3,밑바닥부터 시작하는 딥러닝,재등 강의,한빛미디어,2017-2024,9
4,法部起案,서울대학교. 규장각,서울대학교 규장각,1998,8
5,채식주의자 : 한강 연작소설,한강,창비,2007,8
6,윔피키드,"Kinney, Jeff",푸른날개,2008,8
7,왜 나는 너를 사랑하는가 / 개정판,"De Botton, Alain",청미래,2007,8
8,급류 : 정대건 장편소설,정대건,민음사,2022,7
9,이중 하나는 거짓말 : 김애란 장편소설,김애란,문학동네,2024,7
10,소년이 온다 : 한강 장편소설,한강,창비,2014,7
11,모순 : 양귀자 소설 / 2판,양귀자,쓰다,2013,7
12,해리포터 : 저주받은 아이,"Rowling, J. K",문학수첩,2016,6
13,감정의 격동 : 누스바움의 감정철학 3부작,"Nussbaum, Martha C",새물결,2015,6
14,三國志 / 3판,나관중,민음사,2002,6
15,바깥은 여름 : 김애란 소설,김애란,문학동네,2017,6
16,Holes,"Sachar, Louis",북하우스: 롱테일북스,2012,6
17,미생 : 아직 살아 있지 못한 자,윤태호,위즈덤하우스,2012,5
18,(김태권의) 십자군 이야기,김태권,비아북,2011,5
19,(세상에서 가장 재미있는) 세계사 / 2판,"Gonick, Larry",궁리,2022,5
20,참을 수 없는 존재의 가벼움 / 3판,"Kundera, Milan",민음사,2011,5
