대출 가능 권수: 대출 가능 권수
,단행본,SM자료,AV자료,지정자료,필독자료,방학중 장기대출
학부생,20권,20권,10개,3권,20권,7권
대학원생,40권,40권,10개,2권,40권,-
교수,80권,80권,10개,-,80권,-
교내발령교수,80권,80권,10개,-,80권,-
직원 강사,80권,80권,10개,-,80권,-
부설연구원,80권,80권,10개,-,80권,-
예수회 회원,80권,80권,10개,-,80권,-
특별 회원,10권,10권,10개,-,10권,-
졸업생 대출 회원,10권,10권,10개,-,10권,-
추천 회원,5권,5권,5개,-,5권,-
협정기관 회원,5권,5권,5개,-,5권,-
학점교환자,3권,3권,3개,3권,3권,-

대출 가능 기간: 대출 가능 기간
,단행본,SM자료,AV자료,지정자료,필독자료,방학중 장기대출
학부생,2주 1일,2주 1일,1주,익일 오전 10시,1주,11주 3일
대학원생,4주 2일,4주 2일,1주,익일 오전 10시,1주,-
교수,17주 1일,17주 1일,1주,-,1주,-
교내발령교수,8주 4일,8주 4일,1주,-,1주,-
직원 강사,8주 4일,8주 4일,1주,-,1주,-
부설연구원,8주 4일,8주 4일,1주,-,1주,-
예수회 회원,8주 4일,8주 4일,1주,-,1주,-
특별 회원,4주 2일,4주 2일,1주,-,1주,-
졸업생 대출 회원,4주 2일,4주 2일,1주,-,1주,-
추천 회원,4주 2일,4주 2일,1주,-,1주,-
협정기관 회원,4주 2일,4주 2일,1주,-,1주,-
학점교환자,4주 2일,4주 2일,1주,익일 오전 10시,1주,-
